'country_name',year,'ladder_score',upperwhisker,lowerwhisker,'log_gdp_per_capita','social_support','healthy_life_expectancy','freedom_to_make_life_choices','generosity','perceptions_of_corruption'
Afghanistan,2023,1.721,1.775,1.667,0.628,0,0.242,0,0.091,0.088
Afghanistan,2022,1.859,1.923,1.795,0.645,0,0.087,0,0.093,0.059
Afghanistan,2021,2.404,2.469,2.339,0.758,0,0.289,0,0.089,0.005
Afghanistan,2020,2.523,2.596,2.449,0.37,0,0.126,0,0.122,0.01
Afghanistan,2019,2.567,2.628,2.506,0.301,0.356,0.266,0,0.135,0.001
Albania,2023,5.304,5.44,5.168,1.438,0.924,0.638,0.69,0.138,0.049
Albania,2022,5.277,5.406,5.148,1.449,0.951,0.48,0.549,0.133,0.037
Albania,2021,5.199,5.321,5.076,1.439,0.646,0.719,0.511,0.138,0.028
Albania,2020,5.117,5.234,5.001,1.008,0.529,0.646,0.491,0.168,0.024
Albania,2019,4.883,4.993,4.773,0.907,0.83,0.846,0.462,0.171,0.025
Algeria,2023,5.364,5.476,5.251,1.324,1.191,0.568,0.247,0.091,0.2
Algeria,2022,5.329,5.451,5.207,1.353,1.298,0.409,0.252,0.073,0.152
Algeria,2021,5.122,5.215,5.03,1.363,0.97,0.643,0.146,0.106,0.15
Algeria,2020,4.887,4.991,4.783,0.946,0.765,0.552,0.119,0.144,0.12
Algeria,2019,5.005,5.092,4.918,0.944,1.143,0.745,0.084,0.119,0.129
Argentina,2023,6.188,6.306,6.07,1.562,1.381,0.585,0.681,0.087,0.08
Argentina,2022,6.024,6.147,5.9,1.59,1.388,0.427,0.587,0.088,0.082
Argentina,2021,5.967,6.09,5.844,1.592,1.102,0.662,0.555,0.081,0.085
Argentina,2020,5.929,6.04,5.819,1.162,0.98,0.646,0.544,0.069,0.067
Argentina,2019,5.975,6.079,5.87,1.028,1.373,0.85,0.521,0.07,0.06
Armenia,2023,5.455,5.56,5.35,1.444,1.154,0.603,0.65,0.051,0.173
Armenia,2022,5.342,5.47,5.213,1.466,1.134,0.443,0.551,0.053,0.16
Armenia,2021,5.399,5.519,5.278,1.434,0.82,0.668,0.558,0.054,0.21
Armenia,2020,5.283,5.397,5.168,0.996,0.758,0.585,0.54,0.079,0.198
Armenia,2019,4.677,4.792,4.562,0.808,1.035,0.776,0.378,0.107,0.105
Australia,2023,7.057,7.141,6.973,1.854,1.461,0.692,0.756,0.225,0.323
Australia,2022,7.095,7.18,7.009,1.899,1.497,0.532,0.677,0.242,0.31
Australia,2021,7.162,7.244,7.081,1.9,1.203,0.772,0.676,0.258,0.341
Australia,2020,7.183,7.265,7.102,1.453,1.076,0.801,0.647,0.291,0.317
Australia,2019,7.223,7.305,7.141,1.31,1.477,1.023,0.622,0.325,0.336
Austria,2023,6.905,6.986,6.824,1.885,1.336,0.696,0.703,0.214,0.305
Austria,2022,7.097,7.176,7.018,1.927,1.382,0.535,0.63,0.191,0.31
Austria,2021,7.163,7.237,7.089,1.931,1.165,0.774,0.623,0.193,0.329
Austria,2020,7.268,7.337,7.198,1.492,1.062,0.782,0.64,0.215,0.292
Austria,2019,7.294,7.36,7.229,1.317,1.437,1.001,0.603,0.256,0.281
Azerbaijan,2023,4.893,5.018,4.768,1.433,0.876,0.496,0.668,0.112,0.199
Azerbaijan,2021,5.173,5.265,5.082,1.458,1.093,0.56,0.601,0.023,0.341
Azerbaijan,2020,5.171,5.25,5.091,1.025,0.841,0.541,0.526,0.043,0.276
Azerbaijan,2019,5.165,5.232,5.098,0.99,1.181,0.731,0.468,0.04,0.247
Bahrain,2023,5.959,6.153,5.766,?,?,?,?,?,?
Bahrain,2022,6.173,6.369,5.977,1.883,1.269,0.389,0.748,0.199,0.138
Bahrain,2021,6.647,6.779,6.514,1.854,1.029,0.625,0.693,0.199,0.155
Bahrain,2020,6.647,6.779,6.514,1.409,0.899,0.662,0.661,0.246,0.139
Bahrain,2019,6.227,6.388,6.067,1.297,1.315,0.839,0.61,0.287,0.127
Bangladesh,2023,3.886,3.994,3.778,1.122,0.249,0.513,0.775,0.14,0.167
Bangladesh,2022,4.282,4.416,4.148,1.133,0.513,0.355,0.617,0.139,0.165
Bangladesh,2021,5.155,5.262,5.049,1.06,0.614,0.581,0.622,0.125,0.187
Bangladesh,2020,5.025,5.115,4.934,0.635,0.52,0.514,0.603,0.161,0.164
Bangladesh,2019,4.833,4.911,4.754,0.556,0.869,0.695,0.604,0.177,0.177
Belarus,2021,5.821,5.95,5.693,1.562,1.157,0.629,0.342,0.04,0.282
Belarus,2020,5.534,5.625,5.442,1.124,1.007,0.56,0.326,0.07,0.199
Belarus,2019,5.54,5.613,5.467,1.019,1.387,0.753,0.291,0.09,0.194
Belgium,2023,6.894,6.961,6.827,1.868,1.44,0.69,0.729,0.17,0.311
Belgium,2022,6.859,6.926,6.793,1.907,1.449,0.528,0.59,0.137,0.273
Belgium,2021,6.805,6.89,6.72,1.907,1.106,0.764,0.492,0.049,0.204
Belgium,2020,6.834,6.901,6.767,1.463,0.998,0.747,0.489,0.088,0.187
Belgium,2019,6.864,6.931,6.796,1.296,1.399,0.965,0.5,0.147,0.209
Benin,2023,4.377,4.51,4.245,0.914,0.128,0.284,0.567,0.112,0.252
Benin,2022,4.374,4.504,4.244,0.924,0.242,0.124,0.481,0.114,0.253
Benin,2021,4.623,4.754,4.492,0.932,0.064,0.335,0.479,0.127,0.23
Benin,2020,5.045,5.189,4.901,0.507,0.058,0.196,0.457,0.166,0.178
Benin,2019,5.216,5.368,5.064,0.366,0.352,0.328,0.406,0.197,0.126
Bolivia,2023,5.784,5.895,5.674,1.217,1.179,0.488,0.719,0.1,0.061
Bolivia,2022,5.684,5.797,5.572,1.24,1.187,0.329,0.648,0.103,0.06
Bolivia,2021,5.6,5.709,5.491,1.256,0.88,0.555,0.627,0.112,0.064
Bolivia,2020,5.716,5.819,5.613,0.842,0.782,0.486,0.6,0.138,0.064
Bolivia,2019,5.747,5.847,5.648,0.731,1.142,0.662,0.574,0.138,0.073
'Bosnia and Herzegovina',2023,5.877,5.979,5.775,1.465,1.318,0.587,0.621,0.246,0
'Bosnia and Herzegovina',2022,5.633,5.775,5.49,1.467,1.361,0.429,0.485,0.247,0.008
'Bosnia and Herzegovina',2021,5.768,5.877,5.659,1.468,1.068,0.665,0.448,0.244,0.006
'Bosnia and Herzegovina',2020,5.813,5.911,5.715,1.032,0.919,0.618,0.395,0.261,0.005
'Bosnia and Herzegovina',2019,5.674,5.765,5.583,0.918,1.204,0.814,0.305,0.264,0.001
Botswana,2023,3.383,3.558,3.209,1.445,0.969,0.241,0.567,0.014,0.082
Botswana,2022,3.435,3.702,3.168,1.471,1.041,0.087,0.48,0.021,0.071
Botswana,2021,3.471,3.667,3.275,1.503,0.815,0.28,0.571,0.012,0.102
Botswana,2020,3.467,3.611,3.322,1.099,0.724,0.34,0.539,0.027,0.088
Botswana,2019,3.479,3.598,3.36,0.998,1.086,0.494,0.509,0.033,0.102
Brazil,2023,6.272,6.39,6.154,1.43,1.269,0.548,0.685,0.13,0.142
Brazil,2022,6.125,6.252,5.997,1.454,1.25,0.387,0.558,0.131,0.137
Brazil,2021,6.293,6.384,6.202,1.462,1.044,0.615,0.546,0.131,0.134
Brazil,2020,6.33,6.415,6.245,1.028,0.944,0.571,0.514,0.142,0.117
Brazil,2019,6.376,6.456,6.296,0.953,1.363,0.766,0.483,0.132,0.107
Bulgaria,2023,5.463,5.569,5.357,1.629,1.469,0.567,0.62,0.083,0.006
Bulgaria,2022,5.466,5.582,5.35,1.635,1.457,0.408,0.557,0.106,0.013
Bulgaria,2021,5.371,5.485,5.257,1.625,1.163,0.64,0.563,0.123,0.021
Bulgaria,2020,5.266,5.371,5.16,1.181,1.055,0.583,0.494,0.125,0.005
Bulgaria,2019,5.102,5.188,5.015,1.047,1.461,0.778,0.418,0.104,0
'Burkina Faso',2023,4.548,4.686,4.41,0.756,0.685,0.274,0.483,0.173,0.179
'Burkina Faso',2022,4.638,4.819,4.456,0.768,0.814,0.107,0.419,0.188,0.113
'Burkina Faso',2021,4.67,4.814,4.527,0.779,0.565,0.32,0.382,0.186,0.126
'Burkina Faso',2020,4.834,4.993,4.675,0.364,0.472,0.179,0.381,0.182,0.122
'Burkina Faso',2019,4.769,4.89,4.647,0.302,0.929,0.313,0.322,0.186,0.126
Burundi,2020,3.775,3.985,3.565,0,0.062,0.155,0.298,0.172,0.212
Burundi,2019,3.775,3.985,3.565,0,0.404,0.295,0.275,0.187,0.212
Cambodia,2023,4.341,4.446,4.236,1.011,1.019,0.442,0.863,0.17,0.071
Cambodia,2022,4.393,4.508,4.279,1.025,1.024,0.283,0.768,0.176,0.051
Cambodia,2021,4.64,4.765,4.516,1.019,0.732,0.505,0.74,0.166,0.068
Cambodia,2020,4.83,4.963,4.698,0.603,0.68,0.426,0.702,0.21,0.061
Cambodia,2019,4.848,4.962,4.735,0.545,1.071,0.588,0.675,0.233,0.073
Cameroon,2023,4.874,4.996,4.753,0.943,0.856,0.288,0.521,0.126,0.06
Cameroon,2022,4.973,5.112,4.834,0.965,0.871,0.118,0.405,0.144,0.059
Cameroon,2021,5.048,5.188,4.907,0.968,0.672,0.317,0.397,0.152,0.074
Cameroon,2020,5.142,5.288,4.996,0.543,0.556,0.159,0.425,0.205,0.058
Cameroon,2019,5.085,5.217,4.953,0.504,0.9,0.27,0.439,0.198,0.054
Canada,2023,6.9,6.984,6.815,1.84,1.459,0.701,0.73,0.23,0.368
Canada,2022,6.961,7.042,6.879,1.881,1.484,0.541,0.656,0.218,0.364
Canada,2021,7.025,7.107,6.943,1.886,1.188,0.783,0.659,0.217,0.368
Canada,2020,7.103,7.185,7.021,1.447,1.044,0.798,0.648,0.246,0.335
Canada,2019,7.232,7.311,7.153,1.302,1.435,1.023,0.644,0.282,0.352
'Central African Republic',2019,3.476,3.702,3.25,0.041,0,0,0.293,0.254,0.028
Chad,2023,4.471,4.63,4.313,0.603,0.805,0.199,0.411,0.218,0.113
Chad,2022,4.397,4.633,4.16,0.622,0.962,0.043,0.393,0.255,0.088
Chad,2021,4.251,4.503,3.999,0.662,0.506,0.225,0.18,0.182,0.077
Chad,2020,4.355,4.54,4.171,0.255,0.353,0,0.24,0.215,0.084
Chad,2019,4.423,4.57,4.275,0.302,0.739,0.109,0.229,0.211,0.086
Chile,2023,6.36,6.448,6.273,1.616,1.369,0.673,0.651,0.117,0.075
Chile,2022,6.334,6.424,6.243,1.645,1.384,0.511,0.546,0.131,0.076
Chile,2021,6.172,6.262,6.082,1.651,1.08,0.748,0.46,0.124,0.069
Chile,2020,6.172,6.262,6.081,1.2,0.946,0.678,0.438,0.159,0.07
Chile,2019,6.228,6.318,6.139,1.097,1.323,0.889,0.417,0.156,0.063
China,2023,5.973,6.061,5.885,1.497,1.239,0.629,0.704,0.132,0.164
China,2022,5.818,5.905,5.731,1.51,1.249,0.468,0.666,0.115,0.145
China,2021,5.585,5.65,5.52,1.508,0.958,0.705,0.656,0.099,0.142
China,2020,5.339,5.397,5.281,1.061,0.785,0.665,0.636,0.093,0.117
China,2019,5.124,5.175,5.073,0.991,1.132,0.867,0.602,0.079,0.117
Colombia,2023,5.695,5.806,5.584,1.437,1.241,0.648,0.644,0.072,0.059
Colombia,2022,5.63,5.747,5.514,1.455,1.213,0.486,0.562,0.08,0.068
Colombia,2021,5.781,5.903,5.659,1.452,0.929,0.72,0.545,0.087,0.077
Colombia,2020,6.012,6.132,5.892,1.021,0.866,0.615,0.554,0.1,0.063
Colombia,2019,6.163,6.274,6.053,0.932,1.334,0.81,0.527,0.092,0.046
Comoros,2023,3.566,3.754,3.378,0.896,0.328,0.37,0.172,0.128,0.16
Comoros,2022,3.545,3.774,3.317,0.914,0.327,0.215,0.117,0.129,0.145
Comoros,2021,4.609,4.849,4.368,0.899,0.476,0.424,0.185,0.195,0.125
Comoros,2020,4.289,4.454,4.123,0.488,0.367,0.279,0.202,0.241,0.101
Comoros,2019,4.289,4.454,4.123,0.416,0.723,0.437,0.181,0.259,0.1
Congo,2023,5.221,5.396,5.047,0.892,0.622,0.306,0.523,0.124,0.138
Congo,2022,5.267,5.44,5.094,0.921,0.665,0.145,0.464,0.134,0.136
Congo,2021,5.075,5.235,4.915,0.95,0.405,0.355,0.431,0.13,0.146
Congo,2020,5.342,5.533,5.151,0.518,0.392,0.307,0.381,0.144,0.124
Congo,2019,5.194,5.345,5.043,0.634,0.758,0.458,0.387,0.117,0.119
'Costa Rica',2023,6.955,7.051,6.86,1.561,1.373,0.661,0.797,0.109,0.123
'Costa Rica',2022,6.609,6.71,6.507,1.587,1.34,0.503,0.683,0.099,0.116
'Costa Rica',2021,6.582,6.683,6.481,1.584,1.054,0.744,0.661,0.089,0.102
'Costa Rica',2020,7.069,7.179,6.96,1.134,0.966,0.722,0.673,0.105,0.083
'Costa Rica',2019,7.121,7.209,7.034,0.981,1.375,0.94,0.645,0.131,0.096
'C te d Ivoire',2023,5.08,5.224,4.936,1.08,0.578,0.288,0.547,0.12,0.164
'C te d Ivoire',2022,5.053,5.198,4.907,1.094,0.584,0.12,0.467,0.138,0.131
'C te d Ivoire',2021,5.235,5.384,5.085,1.094,0.442,0.322,0.451,0.149,0.124
'C te d Ivoire',2020,5.306,5.46,5.152,0.669,0.409,0.052,0.438,0.177,0.092
'C te d Ivoire',2019,5.233,5.377,5.09,0.537,0.8,0.155,0.397,0.17,0.093
Croatia,2023,5.942,6.047,5.837,1.71,1.445,0.637,0.469,0.064,0.043
Croatia,2022,6.125,6.237,6.013,1.727,1.455,0.475,0.5,0.087,0.003
Croatia,2021,6.125,6.229,6.022,1.705,1.183,0.709,0.535,0.109,0
Croatia,2020,5.882,5.975,5.788,1.251,1.039,0.703,0.453,0.111,0
Croatia,2019,5.505,5.579,5.431,1.109,1.311,0.901,0.381,0.114,0.012
Cyprus,2023,6.068,6.182,5.954,1.794,1.217,0.744,0.529,0.124,0.049
Cyprus,2022,6.13,6.236,6.024,1.824,1.224,0.58,0.455,0.104,0.05
Cyprus,2021,6.221,6.32,6.122,1.815,0.909,0.819,0.448,0.123,0.062
Cyprus,2020,6.223,6.319,6.128,1.377,0.765,0.801,0.464,0.178,0.061
Cyprus,2019,6.159,6.258,6.06,1.213,1.149,1.026,0.459,0.228,0.051
Czechia,2023,6.822,6.903,6.741,1.783,1.511,0.638,0.787,0.177,0.068
Czechia,2022,6.845,6.931,6.759,1.823,1.544,0.477,0.693,0.158,0.05
Czechia,2021,6.92,7.029,6.811,1.815,1.26,0.715,0.66,0.158,0.048
Czechia,2020,6.965,7.062,6.868,1.37,1.09,0.703,0.58,0.052,0.046
Czechia,2019,6.911,6.995,6.827,1.212,1.405,0.895,0.506,0.046,0.05
Denmark,2023,7.583,7.665,7.5,1.908,1.52,0.699,0.823,0.204,0.548
Denmark,2022,7.586,7.667,7.506,1.949,1.548,0.537,0.734,0.208,0.525
Denmark,2021,7.636,7.71,7.563,1.953,1.243,0.777,0.719,0.188,0.532
Denmark,2020,7.62,7.687,7.552,1.502,1.108,0.763,0.686,0.208,0.485
Denmark,2019,7.646,7.711,7.58,1.327,1.503,0.979,0.665,0.243,0.495
'Dominican Republic',2023,5.823,5.967,5.679,1.517,1.272,0.511,0.73,0.086,0.196
'Dominican Republic',2022,5.569,5.712,5.426,1.536,1.227,0.351,0.623,0.083,0.195
'Dominican Republic',2021,5.737,5.873,5.601,1.538,1.003,0.577,0.606,0.084,0.179
'Dominican Republic',2020,5.545,5.685,5.405,1.106,0.879,0.555,0.581,0.101,0.144
'Dominican Republic',2019,5.689,5.826,5.552,0.983,1.329,0.742,0.563,0.112,0.116
'DR Congo',2023,3.295,3.462,3.128,0.534,0.665,0.262,0.473,0.189,0.072
'DR Congo',2022,3.207,3.394,3.02,0.531,0.784,0.105,0.375,0.183,0.068
'DR Congo',2019,4.311,4.525,4.097,0.062,0.833,0.277,0.365,0.254,0.081
Ecuador,2023,5.725,5.85,5.599,1.315,1.151,0.64,0.606,0.087,0.078
Ecuador,2022,5.559,5.682,5.436,1.343,1.173,0.476,0.56,0.079,0.069
Ecuador,2021,5.533,5.653,5.414,1.352,0.879,0.708,0.565,0.08,0.083
Ecuador,2020,5.764,5.875,5.653,0.935,0.806,0.64,0.56,0.107,0.062
Ecuador,2019,5.925,6.029,5.822,0.853,1.221,0.839,0.555,0.115,0.087
Egypt,2023,3.977,4.066,3.887,1.37,0.996,0.488,0.49,0.025,0.259
Egypt,2022,4.17,4.287,4.054,1.377,0.972,0.326,0.467,0.038,0.25
Egypt,2021,4.288,4.377,4.198,1.388,0.732,0.548,0.469,0.041,0.254
Egypt,2020,4.283,4.371,4.195,0.954,0.647,0.426,0.446,0.069,0.092
Egypt,2019,4.151,4.222,4.081,0.875,0.983,0.597,0.374,0.069,0.095
'El Salvador',2023,6.469,6.599,6.338,1.265,1.08,0.549,0.816,0.083,0.253
'El Salvador',2022,6.122,6.257,5.986,1.278,1.044,0.383,0.713,0.079,0.222
'El Salvador',2021,6.12,6.25,5.99,1.265,0.768,0.607,0.666,0.089,0.212
'El Salvador',2020,6.061,6.188,5.933,0.845,0.675,0.565,0.615,0.116,0.16
'El Salvador',2019,6.348,6.462,6.234,0.749,1.149,0.753,0.524,0.119,0.117
Estonia,2023,6.448,6.524,6.371,1.752,1.527,0.657,0.805,0.166,0.401
Estonia,2022,6.455,6.534,6.377,1.798,1.526,0.494,0.728,0.153,0.372
Estonia,2021,6.341,6.415,6.266,1.793,1.232,0.728,0.689,0.123,0.333
Estonia,2020,6.189,6.263,6.115,1.344,1.079,0.64,0.641,0.119,0.263
Estonia,2019,6.022,6.092,5.951,1.192,1.453,0.843,0.577,0.125,0.202
Eswatini,2023,3.502,3.673,3.331,1.255,0.925,0.176,0.284,0.059,0.116
Eswatini,2021,4.396,4.607,4.185,1.274,0.786,0.197,0.259,0.038,0.154
Ethiopia,2023,3.861,3.997,3.725,0.792,0.915,0.42,0.441,0.27,0.101
Ethiopia,2022,4.091,4.273,3.908,0.793,1.114,0.25,0.451,0.283,0.101
Ethiopia,2021,4.241,4.365,4.118,0.788,0.809,0.457,0.472,0.205,0.136
Ethiopia,2020,4.275,4.374,4.175,0.37,0.679,0.331,0.451,0.241,0.114
Ethiopia,2019,4.186,4.262,4.11,0.315,1.001,0.484,0.413,0.228,0.117
Finland,2023,7.741,7.815,7.667,1.844,1.572,0.695,0.859,0.142,0.546
Finland,2022,7.804,7.875,7.733,1.888,1.585,0.535,0.772,0.126,0.535
Finland,2021,7.821,7.886,7.756,1.892,1.258,0.775,0.736,0.109,0.534
Finland,2020,7.842,7.904,7.78,1.446,1.106,0.741,0.691,0.124,0.481
Finland,2019,7.809,7.87,7.748,1.285,1.5,0.961,0.662,0.16,0.478
France,2023,6.609,6.685,6.533,1.818,1.348,0.727,0.65,0.112,0.281
France,2022,6.661,6.735,6.588,1.856,1.433,0.566,0.582,0.083,0.27
France,2021,6.687,6.758,6.615,1.863,1.219,0.808,0.567,0.07,0.266
France,2020,6.69,6.762,6.618,1.421,1.081,0.804,0.536,0.092,0.235
France,2019,6.664,6.737,6.59,1.268,1.459,1.03,0.514,0.113,0.227
Gabon,2023,5.106,5.243,4.969,1.403,1.038,0.344,0.516,0.045,0.1
Gabon,2022,5.035,5.175,4.894,1.438,1.021,0.183,0.346,0.036,0.102
Gabon,2021,4.958,5.091,4.826,1.459,0.738,0.396,0.343,0.032,0.099
Gabon,2020,4.852,4.998,4.706,1.037,0.707,0.362,0.424,0.058,0.064
Gabon,2019,4.829,4.947,4.711,0.988,1.106,0.523,0.369,0.052,0.056
Gambia,2023,4.485,4.625,4.344,0.75,0.684,0.33,0.459,0.324,0.048
Gambia,2022,4.279,4.484,4.075,0.761,0.614,0.174,0.286,0.332,0.033
Gambia,2021,5.164,5.409,4.918,0.785,0.621,0.369,0.367,0.388,0.103
Gambia,2020,5.051,5.225,4.877,0.367,0.511,0.21,0.384,0.465,0.123
Gambia,2019,4.751,4.882,4.619,0.257,0.883,0.353,0.403,0.426,0.158
Georgia,2023,5.185,5.283,5.087,1.467,0.99,0.524,0.68,0,0.174
Georgia,2022,5.109,5.219,5,1.477,0.947,0.366,0.539,0,0.201
Georgia,2021,4.973,5.079,4.867,1.467,0.612,0.595,0.508,0,0.208
Georgia,2020,4.891,4.998,4.785,1.03,0.47,0.498,0.488,0.032,0.181
Georgia,2019,4.673,4.758,4.588,0.847,0.731,0.695,0.485,0.048,0.174
Germany,2023,6.719,6.815,6.622,1.871,1.39,0.702,0.7,0.174,0.368
Germany,2022,6.892,6.989,6.795,1.919,1.401,0.539,0.618,0.153,0.365
Germany,2021,7.034,7.122,6.947,1.924,1.088,0.776,0.585,0.163,0.358
Germany,2020,7.155,7.232,7.077,1.48,0.993,0.757,0.6,0.195,0.306
Germany,2019,7.076,7.146,7.006,1.314,1.369,0.972,0.564,0.252,0.309
Ghana,2023,4.289,4.396,4.182,1.077,0.747,0.36,0.623,0.183,0.028
Ghana,2022,4.605,4.729,4.481,1.101,0.756,0.197,0.526,0.211,0.035
Ghana,2021,4.872,4.999,4.745,1.112,0.595,0.409,0.5,0.23,0.056
Ghana,2020,5.088,5.219,4.958,0.68,0.595,0.287,0.517,0.268,0.058
Ghana,2019,5.148,5.263,5.033,0.576,0.966,0.432,0.477,0.261,0.057
Greece,2023,5.934,6.027,5.84,1.684,1.276,0.696,0.337,0.018,0.093
Greece,2022,5.931,6.024,5.838,1.708,1.247,0.535,0.248,0.008,0.097
Greece,2021,5.948,6.043,5.853,1.703,0.98,0.774,0.249,0.015,0.108
Greece,2020,5.723,5.813,5.632,1.273,0.811,0.76,0.243,0,0.074
Greece,2019,5.515,5.607,5.423,1.128,1.169,0.979,0.174,0,0.049
Guatemala,2023,6.287,6.457,6.117,1.26,1.169,0.467,0.735,0.105,0.078
Guatemala,2022,6.15,6.362,5.939,1.287,1.188,0.31,0.631,0.106,0.066
Guatemala,2021,6.262,6.46,6.064,1.274,0.831,0.522,0.662,0.112,0.115
Guatemala,2020,6.435,6.577,6.292,0.845,0.79,0.519,0.638,0.163,0.105
Guatemala,2019,6.399,6.513,6.284,0.754,1.174,0.706,0.613,0.171,0.098
Guinea,2023,5.023,5.166,4.881,0.831,0.622,0.236,0.521,0.21,0.107
Guinea,2022,5.072,5.213,4.931,0.844,0.776,0.072,0.369,0.204,0.102
Guinea,2021,4.891,5.028,4.753,0.848,0.566,0.275,0.334,0.214,0.116
Guinea,2020,4.984,5.16,4.808,0.42,0.399,0.206,0.384,0.25,0.111
Guinea,2019,4.949,5.092,4.806,0.39,0.751,0.334,0.372,0.249,0.112
Haiti,2020,3.615,3.953,3.276,0.294,0.173,0.227,0.257,0.463,0.139
Haiti,2019,3.721,3.92,3.522,0.285,0.647,0.374,0.169,0.464,0.162
Honduras,2023,5.968,6.114,5.822,1.091,1.035,0.502,0.72,0.175,0.081
Honduras,2022,6.023,6.196,5.849,1.115,1.072,0.341,0.613,0.189,0.062
Honduras,2021,6.022,6.189,5.855,1.111,0.885,0.555,0.582,0.202,0.076
Honduras,2020,5.919,6.081,5.758,0.703,0.787,0.593,0.578,0.241,0.083
Honduras,2019,5.953,6.082,5.824,0.599,1.187,0.792,0.568,0.257,0.087
'Hong Kong SAR of China',2023,5.316,5.403,5.229,1.909,1.184,0.857,0.485,0.147,0.402
'Hong Kong SAR of China',2022,5.308,5.403,5.214,1.951,1.201,0.702,0.407,0.123,0.39
'Hong Kong SAR of China',2021,5.425,5.501,5.348,1.957,0.954,0.942,0.4,0.147,0.383
'Hong Kong SAR of China',2020,5.477,5.573,5.38,1.525,0.841,0.893,0.408,0.232,0.342
'Hong Kong SAR of China',2019,5.51,5.601,5.42,1.377,1.244,1.137,0.459,0.288,0.332
Hungary,2023,6.017,6.124,5.91,1.722,1.528,0.596,0.581,0.123,0.067
Hungary,2022,6.041,6.149,5.933,1.754,1.519,0.435,0.501,0.105,0.065
Hungary,2021,6.086,6.187,5.985,1.748,1.233,0.668,0.485,0.078,0.064
Hungary,2020,5.992,6.085,5.899,1.301,1.083,0.615,0.454,0.067,0.04
Hungary,2019,6,6.078,5.923,1.164,1.423,0.807,0.386,0.07,0.028
Iceland,2023,7.525,7.618,7.433,1.881,1.617,0.718,0.819,0.258,0.182
Iceland,2022,7.53,7.625,7.434,1.926,1.62,0.559,0.738,0.25,0.187
Iceland,2021,7.557,7.651,7.464,1.936,1.32,0.803,0.718,0.27,0.191
Iceland,2020,7.554,7.67,7.438,1.482,1.172,0.772,0.698,0.293,0.17
Iceland,2019,7.504,7.621,7.388,1.327,1.548,1.001,0.662,0.362,0.145
India,2023,4.054,4.123,3.985,1.166,0.653,0.417,0.767,0.174,0.122
India,2022,4.036,4.092,3.98,1.159,0.674,0.252,0.685,0.175,0.111
India,2021,3.777,3.828,3.726,1.167,0.376,0.471,0.647,0.198,0.123
India,2020,3.819,3.869,3.769,0.741,0.316,0.383,0.622,0.246,0.106
India,2019,3.573,3.628,3.519,0.731,0.644,0.541,0.581,0.237,0.106
Indonesia,2023,5.568,5.67,5.466,1.361,1.184,0.472,0.779,0.399,0.055
Indonesia,2022,5.277,5.392,5.161,1.384,1.169,0.314,0.663,0.422,0.038
Indonesia,2021,5.24,5.341,5.139,1.382,0.883,0.539,0.62,0.468,0.047
Indonesia,2020,5.345,5.454,5.235,0.954,0.786,0.433,0.598,0.541,0.046
Indonesia,2019,5.286,5.379,5.192,0.892,1.155,0.61,0.568,0.543,0.038
Iran,2023,4.923,5.024,4.822,1.435,1.136,0.571,0.366,0.235,0.123
Iran,2022,4.876,4.98,4.772,1.465,1.102,0.411,0.281,0.229,0.13
Iran,2021,4.888,4.995,4.78,1.41,0.741,0.642,0.281,0.241,0.146
Iran,2020,4.721,4.828,4.614,1.03,0.557,0.561,0.275,0.33,0.144
Iran,2019,4.672,4.782,4.563,1.029,0.886,0.749,0.301,0.277,0.143
Iraq,2023,5.166,5.283,5.049,1.249,0.996,0.498,0.425,0.141,0.048
Iraq,2022,4.941,5.099,4.783,1.281,0.953,0.324,0.351,0.134,0.038
Iraq,2021,4.941,5.099,4.783,1.289,0.682,0.554,0.328,0.147,0.046
Iraq,2020,4.854,4.97,4.738,0.91,0.638,0.381,0.302,0.153,0.041
Iraq,2019,4.785,4.937,4.632,0.982,1.011,0.529,0.284,0.153,0.073
Ireland,2023,6.838,6.927,6.749,2.129,1.39,0.7,0.758,0.205,0.418
Ireland,2022,6.911,6.996,6.825,2.152,1.425,0.539,0.656,0.186,0.409
Ireland,2021,7.041,7.121,6.961,2.129,1.166,0.779,0.627,0.19,0.408
Ireland,2020,7.085,7.164,7.006,1.644,1.092,0.753,0.606,0.238,0.367
Ireland,2019,7.094,7.172,7.016,1.447,1.471,0.976,0.588,0.295,0.373
Israel,2023,7.341,7.405,7.277,1.803,1.513,0.74,0.641,0.153,0.193
Israel,2022,7.473,7.535,7.411,1.833,1.521,0.577,0.569,0.124,0.158
Israel,2021,7.364,7.426,7.301,1.826,1.221,0.818,0.568,0.155,0.143
Israel,2020,7.157,7.224,7.09,1.376,1.074,0.788,0.509,0.208,0.119
Israel,2019,7.129,7.212,7.045,1.216,1.403,1.008,0.421,0.267,0.1
Italy,2023,6.324,6.436,6.211,1.8,1.328,0.72,0.513,0.112,0.074
Italy,2022,6.405,6.511,6.298,1.832,1.365,0.559,0.438,0.097,0.063
Italy,2021,6.467,6.57,6.363,1.834,1.052,0.801,0.412,0.085,0.059
Italy,2020,6.483,6.572,6.395,1.393,0.94,0.798,0.379,0.133,0.047
Italy,2019,6.387,6.472,6.303,1.236,1.347,1.023,0.321,0.17,0.04
Jamaica,2023,5.842,6.059,5.624,1.28,1.324,0.567,0.647,0.089,0.028
