@relation 'WHR_merged_3-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.Remove-R2,1-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0'

@attribute country_name {Afghanistan,Albania,Algeria,Argentina,Armenia,Australia,Austria,Azerbaijan,Bahrain,Bangladesh,Belarus,Belgium,Benin,Bolivia,'Bosnia and Herzegovina',Botswana,Brazil,Bulgaria,'Burkina Faso',Burundi,Cambodia,Cameroon,Canada,'Central African Republic',Chad,Chile,China,Colombia,Comoros,Congo,'Costa Rica','C te d Ivoire',Croatia,Cyprus,Czechia,Denmark,'Dominican Republic','DR Congo',Ecuador,Egypt,'El Salvador',Estonia,Eswatini,Ethiopia,Finland,France,Gabon,Gambia,Georgia,Germany,Ghana,Greece,Guatemala,Guinea,Haiti,Honduras,'Hong Kong SAR of China',Hungary,Iceland,India,Indonesia,Iran,Iraq,Ireland,Israel,Italy,Jamaica,Japan,Jordan,Kazakhstan,Kenya,Kosovo,Kuwait,Kyrgyzstan,'Lao PDR',Latvia,Lebanon,Lesotho,Liberia,Libya,Lithuania,Luxembourg,Macedonia,Madagascar,Malawi,Malaysia,Maldives,Mali,Malta,Mauritania,Mauritius,Mexico,Mongolia,Montenegro,Morocco,Mozambique,Myanmar,Namibia,Nepal,Netherlands,'New Zealand',Nicaragua,Niger,Nigeria,'North Cyprus','North Macedonia',Norway,Pakistan,Panama,Paraguay,Peru,Philippines,Poland,Portugal,'Republic of Korea','Republic of Moldova',Romania,'Russian Federation',Rwanda,'Saudi Arabia',Senegal,Serbia,'Sierra Leone',Singapore,Slovakia,Slovenia,'South Africa','South Sudan',Spain,'Sri Lanka','State of Palestine',Swaziland,Sweden,Switzerland,'Taiwan Province of China',Tajikistan,Tanzania,Thailand,Togo,'Trinidad and Tobago',Tunisia,'T rkiye',Turkmenistan,Uganda,Ukraine,'United Arab Emirates','United Kingdom','United States',Uruguay,Uzbekistan,Venezuela,'Viet Nam',Yemen,Zambia,Zimbabwe,'Czech Republic',Qatar,Russia,Belize,'South Korea',Moldova,Turkey,'Hong Kong S.A.R. of China',Somalia,Vietnam,Bhutan,'Palestinian Territories','Congo (Brazzaville)','Congo (Kinshasa)','Ivory Coast',Sudan,Angola,Syria,Laos}
@attribute year numeric
@attribute ladder_score numeric
@attribute upperwhisker numeric
@attribute lowerwhisker numeric
@attribute log_gdp_per_capita numeric
@attribute social_support numeric
@attribute healthy_life_expectancy numeric
@attribute freedom_to_make_life_choices numeric
@attribute generosity numeric
@attribute perceptions_of_corruption numeric

@data
Colombia,2020,0.622447,0.630371,0.614694,0.4622,0.494638,0.540897,0.597132,0.233645,0.12
Colombia,2019,0.6536,0.659992,0.647551,0.42191,0.808311,0.712401,0.56193,0.214953,0.087619
Comoros,2023,0.117805,0.134335,0.101633,0.405613,0.134048,0.325418,0.099087,0.299065,0.304762
Comoros,2022,0.113472,0.138506,0.089184,0.413762,0.133378,0.189094,0.027379,0.301402,0.27619
Comoros,2021,0.332989,0.362745,0.303673,0.406971,0.233244,0.372911,0.116037,0.455607,0.238095
Comoros,2020,0.266969,0.28035,0.253673,0.220914,0.160188,0.245383,0.138201,0.563084,0.192381
Comoros,2019,0.266969,0.28035,0.253673,0.188321,0.398794,0.384345,0.110821,0.60514,0.190476
Congo,2023,0.459253,0.476846,0.442245,0.403803,0.331099,0.269129,0.556714,0.28972,0.262857
Congo,2022,0.468744,0.486024,0.451837,0.416931,0.35992,0.127529,0.479791,0.313084,0.259048
Congo,2021,0.429131,0.443262,0.415306,0.430059,0.185657,0.312225,0.436767,0.303738,0.278095
Congo,2020,0.484217,0.505423,0.463469,0.234495,0.176944,0.270009,0.371578,0.336449,0.23619
Congo,2019,0.453683,0.466208,0.441429,0.287008,0.422252,0.402814,0.3794,0.273364,0.226667
'Costa Rica',2023,0.817,0.822069,0.812245,0.706655,0.83445,0.581354,0.91395,0.254673,0.234286
'Costa Rica',2022,0.745616,0.750939,0.740204,0.718425,0.812332,0.442392,0.765319,0.231308,0.220952
'Costa Rica',2021,0.740045,0.745307,0.734898,0.717067,0.620643,0.654354,0.736636,0.207944,0.194286
'Costa Rica',2020,0.84052,0.848769,0.832653,0.513354,0.561662,0.635004,0.752282,0.245327,0.158095
'Costa Rica',2019,0.851248,0.855027,0.847755,0.444092,0.835791,0.826737,0.715776,0.306075,0.182857
'C te d Ivoire',2023,0.430163,0.440968,0.419592,0.488909,0.301609,0.253298,0.588005,0.280374,0.312381
'C te d Ivoire',2022,0.424593,0.435544,0.413673,0.495247,0.30563,0.105541,0.483703,0.32243,0.249524
'C te d Ivoire',2021,0.462142,0.474343,0.45,0.495247,0.210456,0.283201,0.462842,0.348131,0.23619
'C te d Ivoire',2020,0.47679,0.490196,0.463673,0.302852,0.188338,0.045734,0.445893,0.413551,0.175238
'C te d Ivoire',2019,0.461729,0.472883,0.45102,0.243096,0.450402,0.136324,0.392438,0.397196,0.177143
Croatia,2023,0.608005,0.612641,0.603469,0.774106,0.882708,0.560246,0.48631,0.149533,0.081905
Croatia,2022,0.64576,0.652274,0.639388,0.781802,0.88941,0.417766,0.526728,0.203271,0.005714
Croatia,2021,0.64576,0.650605,0.641224,0.771842,0.707105,0.623571,0.57236,0.254673,0
Croatia,2020,0.595626,0.597622,0.593469,0.56632,0.61059,0.618294,0.46545,0.259346,0
Croatia,2019,0.517846,0.515019,0.520612,0.502037,0.792895,0.792436,0.371578,0.266355,0.022857
Cyprus,2023,0.634,0.640801,0.627347,0.812132,0.729893,0.654354,0.564537,0.28972,0.093333
Cyprus,2022,0.646792,0.652065,0.641633,0.825713,0.734584,0.510114,0.468057,0.242991,0.095238
Cyprus,2021,0.665566,0.669587,0.661633,0.821639,0.523458,0.720317,0.458931,0.287383,0.118095
Cyprus,2020,0.665979,0.669378,0.662857,0.623359,0.426944,0.704485,0.479791,0.415888,0.11619
Cyprus,2019,0.652775,0.656654,0.64898,0.549117,0.684316,0.902375,0.473272,0.53271,0.097143
Czechia,2023,0.789561,0.791197,0.787959,0.807153,0.926944,0.561126,0.900913,0.413551,0.129524
