log_gdp_per_capita,social_support,healthy_life_expectancy,freedom_to_make_life_choices,generosity,perceptions_of_corruption,val
0.664101,0.577748,0.460862,0.761408,0.0,0.331429,0.378526
0.668628,0.548928,0.3219,0.577575,0.0,0.382857,0.384108
0.664101,0.324397,0.523307,0.537158,0.0,0.39619,0.392288
0.466274,0.229223,0.437995,0.511082,0.074766,0.344762,0.400043
0.383431,0.404155,0.611258,0.507171,0.11215,0.331429,0.405398
0.84699,0.845845,0.617414,0.787484,0.406542,0.700952,0.442151
0.868719,0.853217,0.474055,0.680574,0.357477,0.695238,0.438534
0.870982,0.643432,0.682498,0.637549,0.380841,0.681905,0.43067
0.669986,0.579759,0.665787,0.657106,0.455607,0.582857,0.431163
0.594839,0.831769,0.854881,0.610169,0.588785,0.588571,0.430601
0.487551,0.414879,0.316623,0.687093,0.42757,0.053333,0.127359
0.498416,0.420912,0.173263,0.560626,0.492991,0.066667,0.121643
0.503395,0.313003,0.359719,0.526728,0.537383,0.106667,0.112157
0.307832,0.313003,0.252419,0.548892,0.626168,0.110476,0.10639
0.260751,0.561662,0.379947,0.496741,0.609813,0.108571,0.102964
0.762336,0.769437,0.612137,0.314211,0.042056,0.177143,0.42582
0.773201,0.75,0.470536,0.198175,0.018692,0.184762,0.418209
0.770937,0.571046,0.680739,0.199478,0.035047,0.205714,0.421762
0.576279,0.457775,0.668426,0.191656,0.0,0.140952,0.416564
0.510638,0.697721,0.861038,0.101695,0.0,0.093333,0.416004
0.570394,0.697721,0.41073,0.833116,0.245327,0.148571,0.131366
0.582617,0.710456,0.272647,0.697523,0.247664,0.125714,0.131012
0.576732,0.47118,0.459103,0.73794,0.261682,0.219048,0.129334
0.382526,0.4437,0.456464,0.706649,0.380841,0.2,0.122867
0.341331,0.701072,0.620932,0.674055,0.399533,0.186667,0.124176
0.376188,0.331099,0.207564,0.554107,0.490654,0.20381,0.13063
0.382073,0.434316,0.063325,0.355932,0.476636,0.194286,0.125042
0.383884,0.293566,0.241865,0.3103,0.5,0.220952,0.113809
0.190131,0.181635,0.181179,0.375489,0.584112,0.211429,0.1117
0.17655,0.41756,0.293755,0.359844,0.581776,0.213333,0.111495
0.493889,0.607909,0.441513,0.813559,0.408879,0.154286,0.093948
0.504753,0.632708,0.299912,0.674055,0.441589,0.118095,0.094708
0.502943,0.507373,0.488127,0.633638,0.471963,0.144762,0.095789
0.318244,0.441689,0.521548,0.628422,0.563084,0.158095,0.088791
0.271163,0.709786,0.69657,0.615385,0.600467,0.165714,0.092569
0.779538,0.938338,0.524186,0.632334,0.287383,0.127619,0.488875
0.794024,0.932306,0.382586,0.528031,0.245327,0.12381,0.494857
0.791308,0.740617,0.587511,0.507171,0.182243,0.121905,0.500901
0.588954,0.64008,0.540897,0.466754,0.156542,0.07619,0.511748
0.526935,0.867962,0.709763,0.378096,0.163551,0.053333,0.518156
0.851517,0.997989,0.631486,0.942634,0.602804,0.346667,0.294838
0.871888,1.0,0.491645,0.837027,0.584112,0.35619,0.290551
0.876415,0.798928,0.706245,0.810952,0.630841,0.36381,0.268612
0.670892,0.699732,0.67898,0.784876,0.684579,0.32381,0.270366
0.600724,0.951743,0.880387,0.73794,0.845794,0.27619,0.277623
0.527841,0.351877,0.366755,0.874837,0.406542,0.232381,0.145588
0.524672,0.365952,0.221636,0.767927,0.408879,0.211429,0.141253
0.528293,0.16622,0.414248,0.718383,0.462617,0.234286,0.148872
0.335446,0.126005,0.336851,0.685789,0.574766,0.201905,0.131107
