year,ladder_score,upperwhisker,lowerwhisker,log_gdp_per_capita,social_support,healthy_life_expectancy,freedom_to_make_life_choices,generosity,perceptions_of_corruption,val
2023,0.387662,0.393408,0.382245,0.42689,0.487936,0.253298,0.554107,0.294393,0.114286,0.135388
2022,0.408087,0.417605,0.398776,0.436849,0.497989,0.103782,0.402868,0.336449,0.112381,0.126366
2021,0.423561,0.433458,0.413673,0.438207,0.364611,0.278804,0.392438,0.35514,0.140952,0.119177
2020,0.442954,0.454318,0.431837,0.245813,0.286863,0.139842,0.428944,0.478972,0.110476,0.116915
2019,0.431195,0.439508,0.423061,0.228158,0.517426,0.237467,0.447197,0.462617,0.102857,0.114579
2023,0.805653,0.808093,0.803061,0.832956,0.892091,0.616535,0.826597,0.537383,0.700952,0.347712
2022,0.818238,0.820192,0.816122,0.851517,0.908847,0.475814,0.730117,0.509346,0.693333,0.341406
2021,0.831442,0.833751,0.829184,0.85378,0.710456,0.688654,0.734029,0.507009,0.700952,0.335025
2020,0.847535,0.850021,0.845102,0.655048,0.613941,0.701847,0.719687,0.574766,0.638095,0.333549
2019,0.874149,0.876304,0.872041,0.589407,0.876005,0.899736,0.714472,0.658879,0.670476,0.331727
2023,0.304518,0.317063,0.292449,0.272974,0.453753,0.175022,0.410691,0.509346,0.215238,0.106509
2022,0.289251,0.317689,0.261224,0.281575,0.558981,0.037819,0.387223,0.595794,0.167619,0.103409
2021,0.259129,0.290572,0.228367,0.299683,0.253351,0.197889,0.109518,0.425234,0.146667,0.094833
2020,0.280586,0.29829,0.263469,0.115437,0.150804,0.0,0.187744,0.502336,0.16,0.096419
2019,0.294615,0.304547,0.284694,0.136713,0.409517,0.095866,0.173403,0.492991,0.16381,0.095234
2023,0.694244,0.696287,0.692449,0.731553,0.831769,0.591909,0.723598,0.273364,0.142857,0.248592
2022,0.68888,0.691281,0.686327,0.744681,0.841823,0.449428,0.586701,0.306075,0.144762,0.249522
2021,0.655457,0.657489,0.653469,0.747397,0.63807,0.657872,0.474576,0.28972,0.131429,0.231901
2020,0.655457,0.657489,0.653265,0.543232,0.548257,0.596306,0.445893,0.371495,0.133333,0.233904
2019,0.667011,0.66917,0.665102,0.496605,0.800938,0.781882,0.418514,0.364486,0.12,0.245023
2023,0.614401,0.615561,0.613265,0.677682,0.744638,0.55321,0.792699,0.308411,0.312381,0.294033
2022,0.582422,0.58302,0.581837,0.683567,0.75134,0.411609,0.743155,0.268692,0.27619,0.303484
2021,0.534351,0.529829,0.538776,0.682662,0.5563,0.620053,0.730117,0.231308,0.270476,0.278122
2020,0.483598,0.477055,0.49,0.480308,0.440349,0.584872,0.704042,0.21729,0.222857,0.257051
2019,0.439241,0.430747,0.447551,0.448619,0.672922,0.762533,0.659713,0.184579,0.222857,0.263138
2023,0.557046,0.56237,0.551837,0.650521,0.745979,0.569921,0.714472,0.168224,0.112381,0.171103
2022,0.543635,0.550063,0.537551,0.658669,0.727212,0.427441,0.607562,0.186916,0.129524,0.170744
2021,0.574789,0.582603,0.567143,0.657311,0.536863,0.633245,0.585398,0.203271,0.146667,0.169802
2020,0.622447,0.630371,0.614694,0.4622,0.494638,0.540897,0.597132,0.233645,0.12,0.167744
2019,0.6536,0.659992,0.647551,0.42191,0.808311,0.712401,0.56193,0.214953,0.087619,0.172722
2023,0.117805,0.134335,0.101633,0.405613,0.134048,0.325418,0.099087,0.299065,0.304762,0.086658
2022,0.113472,0.138506,0.089184,0.413762,0.133378,0.189094,0.027379,0.301402,0.27619,0.083871
2021,0.332989,0.362745,0.303673,0.406971,0.233244,0.372911,0.116037,0.455607,0.238095,0.092517
2020,0.266969,0.28035,0.253673,0.220914,0.160188,0.245383,0.138201,0.563084,0.192381,0.084565
2019,0.266969,0.28035,0.253673,0.188321,0.398794,0.384345,0.110821,0.60514,0.190476,0.080427
2023,0.459253,0.476846,0.442245,0.403803,0.331099,0.269129,0.556714,0.28972,0.262857,0.151946
2022,0.468744,0.486024,0.451837,0.416931,0.35992,0.127529,0.479791,0.313084,0.259048,0.141201
2021,0.429131,0.443262,0.415306,0.430059,0.185657,0.312225,0.436767,0.303738,0.278095,0.126629
2020,0.484217,0.505423,0.463469,0.234495,0.176944,0.270009,0.371578,0.336449,0.23619,0.123404
