measure_id,measure_name,location_name,metric_name,val,year,upper,lower
0,'DALYs (Disability-Adjusted Life Years)',Benin,Rate,0.115479,2023,0.131353,0.091049
0,'DALYs (Disability-Adjusted Life Years)',Mauritius,Rate,0.367404,2022,0.352875,0.367
0,'DALYs (Disability-Adjusted Life Years)','Dominican Republic',Rate,0.304719,2022,0.30439,0.27595
0,'DALYs (Disability-Adjusted Life Years)',Malaysia,Rate,0.287616,2023,0.284833,0.277735
0,'DALYs (Disability-Adjusted Life Years)',Afghanistan,Rate,0.076578,2022,0.087607,0.050975
0,'DALYs (Disability-Adjusted Life Years)',Ghana,Rate,0.171064,2022,0.180192,0.154708
0,'DALYs (Disability-Adjusted Life Years)',Tonga,Rate,0.381824,2022,0.405499,0.340444
0,'DALYs (Disability-Adjusted Life Years)',Mauritania,Rate,0.230776,2023,0.264079,0.178966
0,'DALYs (Disability-Adjusted Life Years)','Antigua and Barbuda',Rate,0.420582,2023,0.424295,0.402907
0,'DALYs (Disability-Adjusted Life Years)','Brunei Darussalam',Rate,0.373481,2022,0.373965,0.348854
0,'DALYs (Disability-Adjusted Life Years)',Peru,Rate,0.344366,2022,0.338004,0.326465
0,'DALYs (Disability-Adjusted Life Years)',Singapore,Rate,0.330778,2023,0.321458,0.313976
0,'DALYs (Disability-Adjusted Life Years)',Comoros,Rate,0.101201,2023,0.102176,0.088581
0,'DALYs (Disability-Adjusted Life Years)',Croatia,Rate,0.879129,2023,0.854408,0.861541
0,'DALYs (Disability-Adjusted Life Years)','Syrian Arab Republic',Rate,0.130157,2023,0.141101,0.111817
0,'DALYs (Disability-Adjusted Life Years)','Sierra Leone',Rate,0.188035,2022,0.207477,0.159943
0,'DALYs (Disability-Adjusted Life Years)',Gambia,Rate,0.080996,2022,0.095385,0.060638
0,'DALYs (Disability-Adjusted Life Years)',Bangladesh,Rate,0.30542,2022,0.324202,0.267413
0,'DALYs (Disability-Adjusted Life Years)',Algeria,Rate,0.162649,2023,0.188466,0.126852
0,'DALYs (Disability-Adjusted Life Years)',Finland,Rate,0.633972,2022,0.61554,0.611609
0,'DALYs (Disability-Adjusted Life Years)','Saudi Arabia',Rate,0.09884,2023,0.116792,0.087956
0,'DALYs (Disability-Adjusted Life Years)','American Samoa',Rate,0.445029,2023,0.477348,0.393184
0,'DALYs (Disability-Adjusted Life Years)',Gabon,Rate,0.354988,2023,0.386008,0.310654
0,'DALYs (Disability-Adjusted Life Years)','Micronesia (Federated States of)',Rate,0.319396,2023,0.331683,0.29211
0,'DALYs (Disability-Adjusted Life Years)','Equatorial Guinea',Rate,0.258065,2022,0.306184,0.191739
0,'DALYs (Disability-Adjusted Life Years)',Kazakhstan,Rate,0.252684,2023,0.240889,0.249992
0,'DALYs (Disability-Adjusted Life Years)',Greenland,Rate,0.835667,2023,0.855921,0.791959
0,'DALYs (Disability-Adjusted Life Years)',Morocco,Rate,0.241408,2021,0.275798,0.205098
0,'DALYs (Disability-Adjusted Life Years)','South Africa',Rate,0.32995,2022,0.352425,0.29946
